file,n_AC,n_AC_inGrid,n_cubes,max_dim
PDB\3ldl.cif,762,762,17316,3
PDB\3lqz.cif,379,379,8303,3
PDB\3rze.cif,428,428,12540,3
PDB\4bkn.cif,962,962,20412,3
PDB\4f3f.cif,489,489,9408,3
PDB\4rv7.cif,633,633,16200,3
PDB\3hxt.cif,195,195,2496,3.1
PDB\2brq.cif,213,213,3024,3.1
PDB\1m4r.cif,283,283,2688,3.1
PDB\1n26.cif,299,299,9424,3.1
PDB\2ydo.cif,309,309,8740,3.1
PDB\1x0j.cif,312,312,5940,3.1
PDB\2rfj.cif,315,315,5202,3.1
PDB\1pk6.cif,394,394,4352,3.1
PDB\2zfu.cif,423,423,5760,3.1
PDB\1a1m.cif,386,386,7040,3.1
PDB\1a40.cif,321,321,4410,3.1
PDB\1ad8.cif,287,287,2873,3.1
PDB\1al7.cif,350,350,4200,3.1
PDB\1aot.cif,116,116,1430,3.1
PDB\1bhf.cif,108,108,1287,3.1
PDB\1ca7.cif,342,342,3375,3.1
PDB\1csg.cif,240,240,2574,3.1
PDB\1cyn.cif,180,180,1980,3.1
PDB\1f66.cif,769,769,16200,3.1
PDB\1fyr.cif,398,398,5760,3.1
PDB\1iap.cif,190,190,2240,3.1
PDB\1nr2.cif,124,124,2295,3.1
PDB\1q0n.cif,158,158,1560,3.1
PDB\2rhi.cif,326,326,4940,3.1
PDB\2wa1.cif,488,488,8925,3.1
PDB\4yay.cif,393,393,8064,3.1
PDB\2x4w.cif,137,137,1440,3.2
PDB\2gk2.cif,220,220,2475,3.2
PDB\4jzl.cif,246,246,4002,3.2
PDB\1a4v.cif,123,123,1452,3.2
PDB\1azm.cif,258,258,2340,3.2
PDB\1cdm.cif,151,150,1386,3.2
PDB\1fxl.cif,167,167,2304,3.2
PDB\1hcn.cif,195,195,2860,3.2
PDB\1mqb.cif,528,528,11648,3.2
PDB\4bdw.cif,83,83,693,3.2
PDB\4nh9.cif,214,214,2340,3.2
PDB\3c59.cif,128,128,1760,3.3
PDB\1a7v.cif,250,250,2772,3.3
PDB\1b34.cif,154,154,2156,3.3
PDB\1hul.cif,216,216,2200,3.3
PDB\1mhu.cif,31,31,180,3.3
PDB\1ceu.cif,51,51,585,3.4
PDB\1irl.cif,133,133,1540,3.5
PDB\2ri7.cif,177,177,125681476,RUNTIME 60s+
PDB\4eot.cif,186,186,264773925,RUNTIME 60s+
PDB\4erv.cif,196,196,94339836,RUNTIME 60s+
PDB\4oy9.cif,223,223,112787780,RUNTIME 60s+
PDB\4xsj.cif,256,256,102018840,RUNTIME 60s+
PDB\3k51.cif,310,310,3300,RUNTIME 60s+
PDB\2fyt.cif,315,315,122640000,RUNTIME 60s+
PDB\2qqj.cif,317,317,114720764,RUNTIME 60s+
PDB\6mt4.cif,398,398,176320320,RUNTIME 60s+
PDB\3vcl.cif,403,403,151868002,RUNTIME 60s+
PDB\5tl5.cif,539,539,349999893,RUNTIME 60s+
PDB\5vak.cif,558,558,4536,RUNTIME 60s+
PDB\2wok.cif,561,561,202088740,RUNTIME 60s+
PDB\3zos.cif,609,609,334429312,RUNTIME 60s+
PDB\3k2o.cif,673,673,371773794,RUNTIME 60s+
PDB\4tvs.cif,704,704,65923578,RUNTIME 60s+
PDB\4nft.cif,748,748,50493300,RUNTIME 60s+
PDB\5unf.cif,785,785,8211,RUNTIME 60s+
PDB\3d85.cif,854,854,123005088,RUNTIME 60s+
PDB\4c57.cif,870,870,22412500,RUNTIME 60s+
PDB\5uzp.cif,876,876,376810344,RUNTIME 60s+
PDB\2zpk.cif,887,887,77728950,RUNTIME 60s+
PDB\3e4e.cif,923,923,68471325,RUNTIME 60s+
PDB\1pl6.cif,1404,1404,124665216,RUNTIME 60s+
PDB\5nb0.cif,1805,1805,85825976,RUNTIME 60s+
PDB\2mjv.cif,2760,2760,126067830,RUNTIME 60s+
PDB\1mke.cif,3024,3024,109855746,RUNTIME 60s+
PDB\2ebz.cif,3100,3100,121979829,RUNTIME 60s+
PDB\1mgs.cif,3650,3650,96053980,RUNTIME 60s+
PDB\1ai0.cif,3060,3060,101151768,RUNTIME 60s+
PDB\1dd1.cif,712,712,59540364,RUNTIME 60s+
PDB\1ddg.cif,755,755,151339770,RUNTIME 60s+
PDB\1evu.cif,1422,1422,133701166,RUNTIME 60s+
PDB\1f16.cif,3840,3840,143290212,RUNTIME 60s+
PDB\1hi7.cif,1200,1200,102497400,RUNTIME 60s+
PDB\1ilp.cif,3160,3160,106131546,RUNTIME 60s+
